TREE_ID;CIVIC_NUMBER;STD_STREET;GENUS_NAME;SPECIES_NAME;CULTIVAR_NAME;COMMON_NAME;ON_STREET_BLOCK;ON_STREET;NEIGHBOURHOOD_NAME;STREET_SIDE_NAME;HEIGHT_RANGE_ID;HEIGHT_RANGE;DIAMETER;DATE_PLANTED;Geom;geo_point_2d
62000;1401;W BROADWAY;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;2400;HEMLOCK ST;FAIRVIEW;ODD;1;10-20;9.0;;"{""coordinates"": [-123.1362150004815, 49.26395599897147], ""type"": ""Point""}";49.26395599897147, -123.1362150004815
62031;1755;W BROADWAY;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1700;W BROADWAY;FAIRVIEW;ODD;2;20-30;9.0;;"{""coordinates"": [-123.14457600059151, 49.263785999047656], ""type"": ""Point""}";49.263785999047656, -123.14457600059151
62118;2165;W BROADWAY;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;2400;YEW ST;KITSILANO;EVEN;3;30-40;13.0;;"{""coordinates"": [-123.15520300048503, 49.26428099882345], ""type"": ""Point""}";49.26428099882345, -123.15520300048503
62545;2411;BROCK ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;2400;BROCK ST;RENFREW-COLLINGWOOD;ODD;2;20-30;18.0;;"{""coordinates"": [-123.05633299932455, 49.243768998632575], ""type"": ""Point""}";49.243768998632575, -123.05633299932455
62556;2485;BROCK ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;2400;BROCK ST;RENFREW-COLLINGWOOD;ODD;3;30-40;23.0;;"{""coordinates"": [-123.05503399979898, 49.243771999478106], ""type"": ""Point""}";49.243771999478106, -123.05503399979898
62561;2527;BROCK ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;2500;BROCK ST;RENFREW-COLLINGWOOD;ODD;3;30-40;18.0;;"{""coordinates"": [-123.05462800019532, 49.24376899886095], ""type"": ""Point""}";49.24376899886095, -123.05462800019532
62564;2576;BROCK ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;2500;BROCK ST;RENFREW-COLLINGWOOD;EVEN;3;30-40;28.0;;"{""coordinates"": [-123.05375800016152, 49.24365799917722], ""type"": ""Point""}";49.24365799917722, -123.05375800016152
62565;2576;BROCK ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;2500;BROCK ST;RENFREW-COLLINGWOOD;EVEN;3;30-40;30.0;;"{""coordinates"": [-123.05395800049408, 49.24366099940096], ""type"": ""Point""}";49.24366099940096, -123.05395800049408
62570;2599;BROCK ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;2500;BROCK ST;RENFREW-COLLINGWOOD;ODD;3;30-40;26.0;;"{""coordinates"": [-123.05370700024015, 49.24376399936402], ""type"": ""Point""}";49.24376399936402, -123.05370700024015
62618;3288;E 47TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;3200;E 47TH AV;KILLARNEY;EVEN;3;30-40;20.0;;"{""coordinates"": [-123.03571500012227, 49.22636699951859], ""type"": ""Point""}";49.22636699951859, -123.03571500012227
